100-1;Test
13-3;Linnade ja valdade planeeringute dokumendid
2-4;Kirjavahetus õigusalastes küsimustes
10-9;Rahvastikuregistri volitatud töötlejate ja kasutajate dokumendid
2-2;Isikute avaldused, päringud
7-5;Kinnisvara arendustegevuse dokumendid
7-10;Riigivaraga teostatud toimingute dokumendid
10-10;Registrialaste päringutega seotud avaldused
14-5.2;Kesk-Läänemere CBC programm 2007-2013 dokumendid
1-7;Kooskõlastamiseks saadetud õigusaktide eelnõud
2-3;Õigusteenindusalane kirjavahetus
1-6;Algatatud õigusaktide eelnõud
2-1;Kirjavahetus asutustega
14-5.3;Eesti-Läti CBC programm 2007-2013 dokumendid
5-4;Rahvusvaheliste suhete alane kirjavahetus
14-1.3;"Meetme ""Keskkonna hädaolukordadeks valmisoleku parandamine"" dokumendid"
14-1.1;Üldine kirjavahetus (Elukeskkonna arendamise rakenduskava 2007-2013)
9-5;Päästealased dokumendid
12-8;Siseriiklikud regionaalarengu programmid ja meetmed
2-5;Info- ja kommunikatsioonitehnoloogia alane kirjavahetus
10-5;Valimiste korraldamisega seotud dokumendid
10-1;Perekonnasündmuste dokumendid
1-4;Regionaalministri käskkiri
7-7;Riigihanke dokumendid
12-3;Haldus- ja asustusjaotuse muudatustega seotud dokumendid
7-3;Lepingud juriidiliste isikutega
14-5.6;INTERREG IVC programm 2007-2013 dokumendid
2-10;Kohtuasjad
9.1-5;Kirjavahetus julgeoleku küsimustes
14-1.2;"Prioriteetse suuna ""Piirkondade terviklik ja tasakaalustatud areng"" dokumendid"
14-8.4;Euroopa Tagasipöördumisfond
3-16;Majanduslike huvide deklaratsioonid
13-1;Üleriigilise planeeringu dokumendid
1-3;Siseministri käskkiri
1-22;Kirjavahetus maavalitsuste ja kohalike omavalitsuste tegevuskavadega seotud küsimustes
14-5.5;Läänemerepiirkonn TNC programm 2007-2013 dokumendid
5-2;Eesti seisukohad, ühispositsioonid, aruandlus
1-21;Kodanikuühiskonna kirjavahetus
14-5.1;Üldine kirjavahetus (Euroopa Territoriaalse koostöö programmid)
1-17;Operatiivraadioside dokumendid
14-7;Eesti-Sveitsi koostööprogramm
12.1-3;Kirjavahetus kohalike omavalitsuste küsimustes
11-3;Migratsioonipoliitika korraldamise dokumendid
11-1;Kodakondsuspoliitika korraldamise dokumendid
9-2;Korrakaitse- ja kriminaalpoliitika korraldamise dokumendid
12-1;Kirjavahetus kohalike omavalitsuste ja regionaalhalduse küsimustes
7-1;Rahandusalane kirjavahetus
7-8;Haldus- ja hooldusalane kirjavahetus
9-8;Piirivalveavaldkonna poliitika korraldamise dokumendid
14-8.2;Euroopa Pagulasfond
10-8;Rahvastikuregistri järelevalve dokumendid
2-3;Kohtuasjadega seotud dokumendid
12-6;Regionaalarengu ja -poliitikaalased dokumendid
3-17;Valitsemisala asutuste juhtide välislähetuste ja puhkuste taotlused
9-4;Kriisireguleerimisalased dokumendid
14-10.10;Kohalike omavalitsuste EL infoühiskonna arendusprojektid
4-1;Siseauditi toimikud
14-5.9;ESPON 2013 programm dokumendid
14-8.3;Välispiirifond
9-1;Riigi julgeoleku korraldamise dokumendid
7.2-7;Sõiduki kasutamise ja hoolduse alased dokumendid
11-4;Viisapoliitika korraldamise dokumendid
5-3;Rahvusvaheliste lepingute, koostöökokkulepete ja protokollidega seotud kirjavahetus
13-4;Kirjavahetus planeeringute küsimustes
10-11;Perekonnaseisutoimingute alased dokumendid
1-16;Represseeritute komisjoni dokumendid
9-3;Rahvusvahelise politseikoostöö dokumendid
12-2;Kohalike omavalitsuste tegevust toetavate komisjonide või töögruppide dokumendid
11-1;Kodakondsuspoliitika ja välismaalastepoliitika koordineerimise dokumendid
13-2;Maakonnaplaneeringute järelevalve dokumendid
10-6;Isikunimekomisjoni dokumendid
8-2;Side- ja valvetehniliste vahendite projektid
9-9;Teabe operatiivse kogumise ja edastamisega seotud kirjavahetus
3-15;Autasustamisega seotud dokumendid
12.1-1;Riigi kohaliku omavalitsuse tegevuse analüüsid, kavad
3-11;Kirjavahetus personalitöö küsimustes
7-2;Majandustehingute arvestus ja aruandlus
14-3;Eesti Riikliku Arengukava 2004-2006 ja rakenduskavade 2007-2013 struktuurvahendite tehnilise abi dokumendid
14-10.14;Euroopa vabatahtliku tegevuse aasta
14-2;Inimressursi arendamise rakenduskava 2007-2013 meetmete dokumendid
11-2;Isikut tõendavate dokumentide korraldamise dokumendid
4-2;Kirjavahetus siseauditi küsimustes
6-2;Avalikkuse informeerimist puudutavad dokumendid
14-10.1;Üldine kirjavahetus (Ministeeriumi kui toetuse taotleja/saaja projektid)
5-1;Euroopa Liidu Nõukogu ja Euroopa Komisjoni otsustusprotsessi dokumendid
14-5.4;Eesti-Läti-Vene ENPI CBC programm 2007-2013 dokumendid
1-15;Pikaajalise välislähetusega seonduvad dokumendid
11-3;Migratsioonipoliitika kujundamise ja elluviimise dokumendid
10-3;Elukoha registreerimise avaldus
3.1-1;Personalikäskkiri
14-10.3;CREMEX
9-6;Valitsuse kriisikomisjoni dokumendid
7-6;Isiklikud kasutusõigused ja reaalservituudiga koormamise lepingud
1.1-2;Üldkäskkiri (põhitegevust korraldav)
11-5;Tähtajalise elamis- ja tööloa siseriiklikult taotlemise lubamisega seotud dokumendid
2-4;Kirjavahetus dokumendihalduse küsimutes
10.2-4;Apostilliga kinnitatud dokumentide saamiseks esitatud dokumendid, avaldused
8-3;Kirjavahetus usuelu küsimustes
10-4;Rahvastikuregistri andmete täiendamise avaldused
14-10.13;"Projekt „Tsentraliseeritud majandusressursside juhtimine ja haldus Siseministeeriumi valitsemisalas läbi SAP funktsionaalsete liideste"""
14-9;Schengen Facility kirjavahetus
2-9;Riigisaladusega seotud kirjavahetus
8-1;Vaimulikule abielusõlmimise õiguse andmise dokumendid
3-9;Personalialased aruanded ja analüüsid
3-3;Kantsleri personalikäskkiri
10-7;Perekonnaseisuametniku koolituse ja eksamikorraldamise komisjoni dokumendid
9.2-10;Üldine kriisireguleerimisalane kirjavahetus
1-10;Koostöölepingud ja protokollid
8-3;Kirjavahetus infotehnoloogia, side- ja valvetehnika üldistes küsimustes
100-2;Test2
3-18;Konkursi- ja atesteerimiskomisjoni dokumendid
12-5;Kohanimekorraldusega seotud dokumendid
9-7;Otsingu- ja päästetööde ning resostustõrjega seotud dokumendid
1.2-1;Kirjavahetus asutuste ja Riigikoguga
3-1;Siseministri personalikäskkiri
1-5;Kantsleri käskkiri
7-4;Eraldise kasutamise lepingud
3.1-11;Kirjavahetus personalialastes küsimustes
12.1-4;Kohalike omavalitsuste tegevust toetavate komisjonide dokumendid
1.2-2;Kirjavahetus seoses isikute, asutuste ja organisat-sioonide avaldustele, märgukirjadele ja teabenõuetele vastamisega
5.1-3;Rände raamprogrammi alased dokumendid
7.2-9;Kinnisvaraga seonduv kirjavahetus
10.2-1;Perekonnaseisuaktide teised eksemplarid
7.1-9;Majandus- ja töövõtulepingud
10.1-1;Rahvastikuregistri töötlejate ja kasutajate dokumendid
2-12;Relvaloa taotlused
1.2-11;VV ja kabineti istungi dokumendid
14-10.2;E-toimiku kohtuväliste väärteomenetlejate infotehnoloogilise lahenduse projekt
1.1-3;Üldkäskkiri (üksikküsimuses-L)
10.1-5;Kirjavahetus rahvastikuregistri küsimustes
10.2-3;Kirjavahetus perekonnaseisudokumentide väljastamise küsimuses
13-2;Maakonnaplaneeringute järelevalve dokumendid
3-2;Regionaalministri personalikäskkiri
9.1-7;Kodanike sisejulgeolekualased avaldused ja märgukirjad
7.1-1;Eelarve kujundamine, jaotamine ja aruandlus
14-4;INTERREG programmid 2000-2006
7.2-1;Riigivaraga teostatud toimingute dokumendid
12.2-3-10;Eesti-Läti-Vene ENPI CBC programm 2007-2013 dokumendid
7.3-3;Kirjavahetus riigihangete küsimustes
9.1-3;Julgeolekualase tegevuse koordineerimisega seotud dokumendid
14-10.9;KMA ja rahvastikuregistri andmevahetuse loomise projekt
2-1;SIM loodud õigustloovate aktide eelnõud ja kooskõlastused
5.2-1;Rahvusvaheliste lepingute, koostöökokkulepete ja protokollidega seotud kirjavahetus
3-7;Lepingud füüsiliste isikutega
3.1-2;Puhkuse, lähetuse, ergutuse ja  distsiplinaarkaristuse määramise käskkiri
10.1-4;Riigieelarveväliste projektide dokumendid
11-2;Kodakondsuse- ja välismaalaste poliitikaga seotud kirjavahetus
12.2-1;Regionaalarengu ja -poliitikaalased dokumendid
1.2-10;Tellimiskirjad, tõendid, taotlused
12.2-3-9;Eesti-Läti CBC programm 2007-2013 dokumendid
9.1-4;Korrakaitse ja kriminaalpoliitika alase tegevuse koordineerimisdokumendid
1.1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid
7.2-6;Haldusosakonna kirjavahetus
12.6-2;Elukeskkonna arendamise rakenduskava 2007-2013 dokumendid
14-6.1;Üldine kirjavahetus (Norra ja EMP finantsmehhanism)
12-7;Regionaalset arengut toetavate komisjonide või töögruppide dokumendid
7.1-3;Raamatupidamise aruandlus
13-3;Linnade ja valdade planeeringualane kirjavahetus
7.1-9;Materiaalsete väärtuste liikumise ja olemikontrolli dokumendid
11-1;Kodakondsuspoliitika kujundamise ja elluviimise dokumendid
2-2;Kooskõlastamiseks saadetud eelnõud ja sellega seotud dokumendid
10.2-5;Välisriigi apostilliga kinnitamist tõendavad dokumendid
1-2;Ministri üldkäskkirjad
1-9;Siseministeeriumi poolt sõlmitud koostöölepingud
7.2-9;Kinnisvaraga seonduvad dokumendid
9.1-1;Kirjavahetus sisejulgeoleku üldistes küsimustes
14-10.4;"Projekt ""Tulemuspõhise juhtimissüsteemi arendamine"""
10.1-2;Valimiste korraldamisega seotud dokumendid
3.3-3;Haridust ja koolitust puudutava komisjoni või töörühma dokumendid
10-2;Juhendid perekonnaseisuasutustele ja registripidajatele
10.1-3;Rahvastikuregistri järelevalve dokumendid
2-7;Kirjavahetus asutustega õigusteeninduse küsimustes
14-8.1;Üldine kirjavahetus (Solidaarsusprogrammi fondid)
