Toimiku ID;Osakonna kood;SARI VIIT;SARI PEALKIRI;Toimiku viit NORM;Toimiku pealkiri NORM;Toimiku indeks;Toimiku nimetus;Mitu asjaajamisaastat/üks asjaajamisaasta;Toimiku alguskuupäev;Toimiku lõppkuupäev;Säilitustähtaeg
1;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-1;Tunnistajakaitse seaduse eelnõu väljatöötamise töörühma dokumendid;1.-10-1;Tunnistajakaitse seaduse eelnõu väljatöötamise töörühma dokumendid;üks asjaajamisaasta;1.01.2003;31.12.2003;10
2;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-1;Tunnistajakaitse seaduse eelnõu väljatöötamise töörühma dokumendid;1.-10-1;Tunnistajakaitse seaduse eelnõu väljatöötamise töörühma dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;10
3;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-1;Tunnistajakaitse seaduse eelnõu väljatöötamise töörühma dokumendid;1.-10-1;Tunnistajakaitse seaduse eelnõu väljatöötamise töörühma dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;10
4;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-2;VV Kriisikomisjoni protokollid;1.-10-2;VV Kriisikomisjoni protokollid;üks asjaajamisaasta;1.01.2002;31.12.2002;10
5;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-3;Riigivaraosakonna komisjonide ja töörühmade dokumendid;1.-10-3;Riigivaraosakonna komisjonide ja töörühmade dokumendid;üks asjaajamisaasta;1.01.2003;31.12.2003;10
6;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-3;Riigivaraosakonna komisjonide ja töörühmade dokumendid;1.-10-3;Riigivaraosakonna komisjonide ja töörühmade dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;10
8;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-4;VV regionaalpoliitika nõukogu dokumendid;1.-10-4;VV Regionaalpoliitika Nõukogu dokumendid;üks asjaajamisaasta;1.01.2002;31.12.2002;10
9;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-5;VV Kohanimenõukogu dokumendid;1.-10-5;VV Kohanimenõukogu dokumendid;üks asjaajamisaasta;1.01.2002;31.12.2002;10
10;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-5;Ida-Virumaa arendusstrateegia koostamise töögrupi dokumendid;1.-10-5;Ida-Virumaa arendusstrateegia koostamise töögrupi dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;10
11;101;1-10;SIM moodustatud või teenindatava komisjoni või töögrupi tegevuses tekkinud dokumendid;1-10-6;RAK struktuuritoetuse meetme 4.6 Kohalik sotsiaal-majanduslik areng juhtkomisjoni dokumendid;1.-10-6;RAK struktuuritoetuse meetme 4.6 Kohalik sotsiaalmajanduslik areng juhtkomisjoni dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;10
12;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-1;Ministeeriumi  sturktuuri ja koosseisude planeerimise dokumendid;1.-12-1;Ministeeriumi  sturktuuri ja koosseisude planeerimise dokumendid;üks asjaajamisaasta;1.01.2003;31.12.2003;99
13;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-1;Ministeeriumi  sturktuuri ja koosseisude planeerimise dokumendid;1.-12-1;Ministeeriumi  sturktuuri ja koosseisude planeerimise dokumendid;üks asjaajamisaasta;1.01.2004;31.12.2004;99
14;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-1;Ministeeriumi  sturktuuri ja koosseisude planeerimise dokumendid;1.-12-1;Ministeeriumi  sturktuuri ja koosseisude planeerimise dokumendid;üks asjaajamisaasta;1.01.2005;31.12.2005;99
15;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-2;Politsei arengukavad;1.-12-2;Politsei arengukavad;üks asjaajamisaasta;1.01.2003;31.12.2003;99
16;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-2;Politsei arengukavad;1.-12-2;Politsei arengukavad;üks asjaajamisaasta;1.01.2004;31.12.2004;99
17;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-2;Politsei arengukavad;1.-12-2;Politsei arengukavad;üks asjaajamisaasta;1.01.2005;31.12.2005;99
18;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-3;Piirivalve arengukavad;1.-12-3;Piirivalve arengukavad;üks asjaajamisaasta;1.01.2003;31.12.2003;99
19;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-3;Piirivalve arengukavad;1.-12-3;Piirivalve arengukavad;üks asjaajamisaasta;1.01.2004;31.12.2004;99
20;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-3;Piirivalve arengukavad;1.-12-3;Piirivalve arengukavad;üks asjaajamisaasta;1.01.2005;31.12.2005;99
21;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-4;Päästevaldkonna arengukavad;1.-12-4;Päästevaldkonna arengukavad;üks asjaajamisaasta;1.01.2003;31.12.2003;99
22;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-4;Päästevaldkonna arengukavad;1.-12-4;Päästevaldkonna arengukavad;üks asjaajamisaasta;1.01.2004;31.12.2004;99
23;101;1-12;Struktuuride ja koosseisude planeerimise dokumendid;1-12-4;Päästevaldkonna arengukavad;1.-12-4;Päästevaldkonna arengukavad;üks asjaajamisaasta;1.01.2005;31.12.2005;99
24;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-13-1;Narkokomisjoni kirjavahetus;1.-13-1;Narkokomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2003;31.12.2003;5
25;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-13-1;Narkokomisjoni kirjavahetus;1.-13-1;Narkokomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2004;31.12.2004;5
26;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-13-1;Narkokomisjoni kirjavahetus;1.-13-1;Narkokomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2005;31.12.2005;5
27;101;1-13;Komisjonide ja töögruppide kirjavahetus;1-13-2;Standardimiskomisjoni kirjavahetus;1.-13-2;Sandardimiskomisjoni kirjavahetus;üks asjaajamisaasta;1.01.2003;31.12.2003;5
