Toimiku ID;Osakonna kood;SARI VIIT;SARI PEALKIRI;Toimiku viit NORM;Toimiku pealkiri NORM;Toimiku indeks;Toimiku nimetus;Mitu asjaajamisaastat/üks asjaajamisaasta;Toimiku alguskuupäev;Toimiku lõppkuupäev;Säilitustähtaeg
10;010402;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;üks asjaajamisaasta;1.01.2002;31.12.2002;5
11;010402;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;üks asjaajamisaasta;1.01.2003;31.12.2003;5
12;010402;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;4.2-5;Kirjavahetus riigivaraga tehingute teostamise ja haldamise küsimustes;üks asjaajamisaasta;1.01.2004;31.12.2004;5
20;0101;1.4-1;Maavanema personalialased korraldused;1-11.1;Personalikorraldused ;1-11.1;Personalikorraldused ;üks asjaajamisaasta;1.01.2002;31.12.2002;50
21;0101;1.4-1;Maavanema personalialased korraldused;1-11.1;Personalikorraldused ;1-11.1;Personalikorraldused ;üks asjaajamisaasta;1.01.2003;31.12.2003;50
22;0101;1.4-1;Maavanema personalialased korraldused;1-11.1;Personalikorraldused ;1-11.1;Personalikorraldused ;üks asjaajamisaasta;1.01.2004;31.12.2004;50
41;010102;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;üks asjaajamisaasta;1.01.2002;31.12.2002;10
42;010102;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;üks asjaajamisaasta;1.01.2003;31.12.2003;10
43;010102;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;1.2-4;Kirjavahetus avaliku arhiiviga arhiivitöö küsimustes;üks asjaajamisaasta;1.01.2004;31.12.2004;10
94;011106;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;üks asjaajamisaasta;1.01.2002;31.12.2002;7
95;011106;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;üks asjaajamisaasta;1.01.2003;31.12.2003;7
96;011106;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;11.6-1;Isikute avaldused kordustunnistuste, tõendite ja ärakirjade saamiseks;üks asjaajamisaasta;1.01.2004;31.12.2004;7
134;010302;3.2-6;Kirjavahetus hüpoteegi küsimustes;3.2-6;Kirjavahetus hüpoteegi küsimustes;3.2-6;Kirjavahetus hüpoteegi küsimustes;üks asjaajamisaasta;1.01.2003;31.12.2003;7
135;010302;3.2-6;Kirjavahetus hüpoteegi küsimustes;3.2-6;Kirjavahetus hüpoteegi küsimustes;3.2-6;Kirjavahetus hüpoteegi küsimustes;üks asjaajamisaasta;1.01.2004;31.12.2004;7
142;010401;4.1-28;Kirjavahetus raamatupidamise küsimustes;4.1-28;Kirjavahetus raamatupidamise küsimustes;4.1-28;Kirjavahetus raamatupidamise küsimustes;üks asjaajamisaasta;1.01.2002;31.12.2002;10
143;010401;4.1-28;Kirjavahetus raamatupidamise küsimustes;4.1-28;Kirjavahetus raamatupidamise küsimustes;4.1-28;Kirjavahetus raamatupidamise küsimustes;üks asjaajamisaasta;1.01.2003;31.12.2003;10
144;010401;4.1-28;Kirjavahetus raamatupidamise küsimustes;4.1-28;Kirjavahetus raamatupidamise küsimustes;4.1-28;Kirjavahetus raamatupidamise küsimustes;üks asjaajamisaasta;1.01.2004;31.12.2004;10
181;0106;6-6;Kirjavahetus terviseedenduse küsimustes;6-6;Kirjavahetus terviseedenduse küsimustes;6-6;Kirjavahetus terviseedenduse küsimustes;üks asjaajamisaasta;1.01.2002;31.12.2002;10
182;0106;6-6;Kirjavahetus terviseedenduse küsimustes;6-6;Kirjavahetus terviseedenduse küsimustes;6-6;Kirjavahetus terviseedenduse küsimustes;üks asjaajamisaasta;1.01.2003;31.12.2003;10
183;0106;6-6;Kirjavahetus terviseedenduse küsimustes;6-6;Kirjavahetus terviseedenduse küsimustes;6-6;Kirjavahetus terviseedenduse küsimustes;üks asjaajamisaasta;1.01.2004;31.12.2004;10
208;0105;5-6;Lapse riiklikule hoolekandele võtmise lepingud;5-6;Lapse riiklikule hoolekandele võtmise lepingud;5-6;Lapse riiklikule hoolekandele võtmise lepingud;üks asjaajamisaasta;1.01.2002;31.12.2002;50
209;0105;5-6;Lapse riiklikule hoolekandele võtmise lepingud;5-6;Lapse riiklikule hoolekandele võtmise lepingud;5-6;Lapse riiklikule hoolekandele võtmise lepingud;üks asjaajamisaasta;1.01.2003;31.12.2003;50
210;0105;5-6;Lapse riiklikule hoolekandele võtmise lepingud;5-6;Lapse riiklikule hoolekandele võtmise lepingud;5-6;Lapse riiklikule hoolekandele võtmise lepingud;üks asjaajamisaasta;1.01.2004;31.12.2004;50
211;010103;1.3-1;Lepingud;1.3-1;Lepingud;1.3-1;Lepingud;üks asjaajamisaasta;1.01.2002;31.12.2002;10
212;010103;1.3-1;Lepingud;1.3-1;Lepingud;1.3-1;Lepingud;üks asjaajamisaasta;1.01.2003;31.12.2003;10
213;010103;1.3-1;Lepingud;1.3-1;Lepingud;1.3-1;Lepingud;üks asjaajamisaasta;1.01.2004;31.12.2004;10
216;010104;1.4-12;Töövõtulepingud;1.4-12;Töövõtulepingud;1.4-12;Töövõtulepingud;üks asjaajamisaasta;1.01.2004;31.12.2004;10
217;0105;5-1;Tehniliste abivahendite soodustingimustel eraldamist ja rehabilitatsiooniteenuste komisjoni protokollid ja otsused;5-1;Tehniliste abivahendite soodustingimustel eraldamist ja rehabilitatsiooniteenuste komisjoni protokollid ja otsused;5-1;Tehniliste abivahendite soodustingimustel eraldamist ja rehabilitatsiooniteenuste komisjoni protokollid ja otsused;üks asjaajamisaasta;1.01.2002;31.12.2002;10
218;0105;5-1;Tehniliste abivahendite soodustingimustel eraldamist ja rehabilitatsiooniteenuste komisjoni protokollid ja otsused;5-1;Tehniliste abivahendite soodustingimustel eraldamist ja rehabilitatsiooniteenuste komisjoni protokollid ja otsused;5-1;Tehniliste abivahendite soodustingimustel eraldamist ja rehabilitatsiooniteenuste komisjoni protokollid ja otsused;üks asjaajamisaasta;1.01.2003;31.12.2003;10
